,battery_energy_density,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,250,96.56064,241.4016,0.4888888888888889,2976.9331788761147,3.8933120461646156,326.57500192613946,0.13999999999706664,0.5018931663433788,7.693295859603517,11.138146408642443,8.915452660753566,6.481820260060241e-05,600.0,1341.9153208656078,691.4764313329493,197.3727099213359,146.17676773147934,386.95160477417727,268.19566610173507,333.9071264413504,153.18383902489347,153.69756883664755,153.18383902489347,228.1256045471533,0.6302766233350965,1.069687430888176,2425.4775114441377
1,275,96.56064,241.4016,0.4888888888888889,2654.654792482072,3.6691777213118675,347.3277053227247,0.13999999999727014,0.5004182169953708,7.680149983434683,10.57649839180009,8.897611701828096,5.7633068956727144e-05,600.0,1138.5627295121335,598.1293856789342,188.69671464507735,129.27355429060756,345.6514258455756,252.01934919799376,298.35588261697785,153.7987650617435,154.41128769505752,153.7987650617435,212.91123041876895,0.6302766233350965,1.03737250867051,2352.2045955812896
2,300,96.56064,241.4016,0.4888888888888889,2421.3849472618645,3.493145924110389,366.10043608251783,0.14000000013392852,0.4983868041985764,7.6593350774803,10.124790874086695,8.869385618576732,6.016913771598356e-05,600.0,989.7269162180328,532.1868037940444,182.29155296943046,117.18743115715846,316.13513741958263,240.27207140817097,273.0048113130099,154.77922629935057,155.4879165929215,154.77922629935057,201.90429090847869,0.6302766233350965,1.013160638545369,2297.3050568910244
3,325,96.56064,241.4016,0.4888888888888889,2244.478085894972,3.35019824500207,383.30124105413375,0.14000000233405213,0.49605431281843954,7.634175289561409,9.752749099416917,8.83530507910908,4.0915515609069956e-05,600.0,875.8603103512692,483.16413234877257,177.35048187536154,108.10955784328166,294.00400184207973,231.3435423886529,254.03515394188258,155.9755931636584,156.7776558061425,155.9755931636584,193.56512858763048,0.6302766233350965,0.9942767961119968,2254.4866280404876
4,350,96.56064,241.4016,0.4888888888888889,2105.595109708091,3.231301938661182,399.1818568706374,0.140000001204089,0.4935848821347002,7.606823318586121,9.440591636738835,8.798301445282327,3.4464333460198765e-05,600.0,785.8237013227666,445.32589132749024,173.4129322266788,101.03845546429503,276.8034725564597,224.32335520630588,239.31836420961878,157.2903471345046,158.18284014014313,157.2903471345046,187.02604091481848,0.6302766233350965,0.9791018772066918,2220.0780489733816
5,375,96.56064,241.4016,0.4888888888888889,1993.6137860635722,3.1306120475287487,413.91272260533833,0.1400000003164094,0.4910836972475271,7.578674068659781,9.174742930048357,8.760269483966782,3.0001349467117787e-05,600.0,712.7832553792146,415.2665315626243,170.19550968081964,95.37396678967629,263.055749330585,218.6566068970398,227.57448155131797,158.65903692435543,159.63890917982067,158.65903692435543,181.7597301216997,0.6302766233350965,0.966621922487412,2191.78020360156
6,400,96.56064,241.4016,0.4888888888888889,1901.375631903227,3.0442446206105953,427.58624961047445,0.14000001509506105,0.48863663687323944,7.550880391680272,8.945586971099768,8.722767835847163,5.020678079681102e-05,600.0,652.2949558939689,390.84125400539136,167.51279367643343,90.7337140017694,251.80846911549614,213.98276874563726,217.97847514516175,160.02620977594492,161.09026556640953,160.02620977594492,177.42422800315953,0.6302766233350965,0.956165816659093,2168.071362297507
7,425,96.56064,241.4016,0.4888888888888889,1824.0698447658208,2.9692604736611075,440.32091097646884,0.14000000754749584,0.4862718179250328,7.523839505031427,8.745952734463597,8.686329375088615,6.590806091627122e-05,600.0,601.3589807268021,370.61655025261166,165.2395195066453,86.86291265773497,242.4386968310539,210.06159312308012,209.99317041753466,161.37162025525046,162.516677042706,161.37162025525046,173.7927454300458,0.6302766233350965,0.9472715555840098,2147.903947410137
8,450,96.56064,241.4016,0.4888888888888889,1758.3352124851522,2.9026816755068316,452.4681886559854,0.14000000116108494,0.4838687094539845,7.495974220169486,8.569893432759601,8.648828841895812,5.0150510001259925e-05,600.0,557.9134032012477,353.5530135669744,163.29099601271648,83.58488140669263,234.57060561307478,206.73798396311014,203.30327315157362,162.7740393193752,163.99764924803165,162.7740393193752,170.72150137958178,0.6302766233350965,0.9396092948921723,2130.530048775614
9,475,96.56064,241.4016,0.4888888888888889,1701.7410985186868,2.842862333692292,464.147933284454,0.14000032008061264,0.4814277972736608,7.4672995757828105,8.413242363177922,8.610290686782557,6.843863614217683e-05,600.0,520.4200965068537,338.9541724676325,161.60238323368455,80.77271907523789,227.89243705148795,203.88989407059142,197.64037712814823,164.23439643269913,165.53437312307108,164.23439643269913,168.09569117171375,0.6302766233350965,0.9329356760888731,2115.397859820273
